Component,Monthly Percent Change,Relative Importance,Cumulative Relative Importance
Over-the-counter equity securities,-5.32,0.03,0.03
Nonelectric cookware and tableware,-3.46,0.15,0.18
Hotels and motels,-3.33,0.73,0.91
Gasoline and other motor fuel,-3.01,2.08,2.99
Motor vehicle rental,-2.96,0.15,3.14
Vegetables (fresh),-2.58,0.33,3.46
Other imputed commissions,-2.51,0.05,3.51
Intercity buses,-2.13,0.01,3.52
Other road transportation service,-2.13,0.22,3.73
Railway transportation,-2.13,0.01,3.74
Water transportation (65),-2.13,0.04,3.77
Financial service charges and fees,-1.98,0.64,4.41
Major household appliances,-1.89,0.38,4.79
Window coverings,-1.85,0.16,4.95
Fuel oil,-1.66,0.12,5.07
Therapeutic medical equipment,-1.65,0.25,5.31
Other medical products,-1.65,0.04,5.36
Pork,-1.54,0.23,5.59
Carpets and other floor coverings,-1.49,0.14,5.73
Photographic equipment,-1.44,0.03,5.75
Children's and infants' clothing (12),-1.43,0.14,5.89
"Moving, storage, and freight services",-1.21,0.11,6
"Clocks, lamps, lighting fixtures, and other household decorative items",-1.08,0.32,6.31
Dishes and flatware,-1.01,0.15,6.46
Stationery and miscellaneous printed materials,-0.94,0.16,6.62
Clothing materials,-0.89,0.01,6.63
Sewing items,-0.89,0.01,6.64
Other meats,-0.84,0.23,6.87
Beef and veal,-0.83,0.31,7.18
Prescription drugs,-0.77,2.76,9.94
Women's and girls' clothing (10),-0.74,1.23,11.17
Processed dairy products,-0.69,0.34,11.51
Musical instruments (part of 80),-0.63,0.04,11.56
Postal and delivery services (68),-0.59,0.08,11.64
Newspapers and periodicals,-0.54,0.47,12.1
"Other social assistance, not elsewere classified",-0.49,0.04,12.14
Eggs,-0.49,0.08,12.22
Miscellaneous household products,-0.47,0.1,12.33
Museums and libraries,-0.45,0.09,12.42
"Live entertainment, excluding sports",-0.45,0.28,12.69
Motion picture theaters,-0.45,0.05,12.75
Poultry,-0.41,0.37,13.11
"Tools, hardware, and supplies",-0.36,0.25,13.36
"Sporting equipment, supplies, guns, and ammunition (part of 80)",-0.32,0.63,13.99
Other personal business services,-0.32,0.13,14.12
Nonprescription drugs,-0.31,0.6,14.72
Processed fruits and vegetables,-0.29,0.23,14.95
"Amusement parks, campgrounds, and related recreational services",-0.28,0.43,15.38
Fats and oils,-0.28,0.15,15.53
Package tours,-0.28,0.12,15.64
Other depository institutions and regulated investment companies,-0.22,1.37,17.01
Photo processing,-0.15,0.01,17.02
Veterinary and other services for pets,-0.15,0.37,17.39
Funeral and burial services,-0.14,0.15,17.55
Beer,-0.14,0.49,18.04
Spectator sports,-0.14,0.27,18.32
Wine,-0.13,0.34,18.66
